distance_km,weather_severity,road_type,season,cargo_weight_kg,driver_experience_yrs,departure_hour,is_delayed
607,3,rural,winter,17488,7,11,1
596,1,highway,fall,3479,19,8,0
302,5,highway,summer,7565,9,5,0
439,1,highway,winter,5416,12,15,1
643,3,rural,summer,1097,28,20,0
305,5,rural,winter,6122,2,10,1
758,3,rural,spring,18761,28,14,0
499,5,highway,winter,12664,21,7,1
59,3,rural,summer,2199,7,8,0
291,2,rural,fall,17600,28,9,0
300,3,highway,fall,13929,8,14,0
54,2,rural,fall,14296,29,4,0
168,3,rural,winter,4586,21,13,1
423,5,rural,spring,1165,20,14,0
114,5,rural,winter,15105,11,20,1
195,5,highway,fall,17963,10,11,1
273,4,highway,summer,8919,1,16,0
288,1,rural,fall,15684,17,21,0
226,5,highway,summer,1569,8,19,0
331,2,rural,spring,5763,1,5,1
112,5,rural,summer,16609,1,8,1
266,4,rural,winter,8451,2,21,1
738,2,rural,winter,13419,15,6,0
510,4,highway,winter,1863,18,20,1
659,2,highway,summer,5008,3,19,0
154,3,highway,winter,2255,22,9,0
148,1,highway,winter,1019,24,10,1
560,1,highway,winter,12236,17,21,1
434,4,highway,spring,11014,19,17,1
454,1,rural,summer,15188,24,9,0
567,4,rural,summer,7733,29,11,1
525,4,highway,fall,1602,17,18,1
758,4,highway,summer,1097,9,18,1
694,1,rural,spring,14447,10,18,1
486,4,highway,summer,12741,28,19,0
72,1,highway,spring,6281,16,4,0
614,4,highway,spring,11297,25,14,0
726,5,highway,summer,6756,23,8,0
763,4,highway,fall,10880,24,8,0
507,2,rural,winter,9280,22,9,1
132,4,highway,winter,7054,23,5,1
194,3,highway,summer,13164,19,9,0
134,4,highway,summer,10099,15,17,1
127,2,highway,spring,16011,19,14,0
506,2,rural,summer,5346,12,7,0
50,1,rural,spring,7105,1,12,0
100,5,rural,fall,10751,23,6,1
734,4,highway,summer,16543,26,19,1
766,1,rural,winter,13264,1,14,1
495,5,rural,winter,3486,24,7,0
498,4,rural,summer,900,13,4,0
537,3,highway,spring,19739,3,19,0
83,4,highway,winter,10916,16,19,1
397,2,highway,spring,3912,12,14,0
144,2,rural,summer,16940,3,11,1
121,3,highway,summer,2375,2,4,0
600,1,highway,winter,4798,11,12,0
203,5,rural,summer,4268,21,15,0
299,4,rural,fall,6252,22,11,1
723,2,rural,fall,12989,7,20,1
487,1,highway,winter,1853,1,13,1
167,3,rural,fall,7097,5,10,0
355,2,highway,spring,15191,21,9,0
317,3,highway,winter,4811,9,21,1
103,4,highway,winter,15807,11,18,1
285,5,highway,spring,11294,20,5,0
438,2,highway,fall,3434,9,17,0
783,2,rural,fall,16906,9,13,1
450,4,highway,fall,10894,22,19,0
673,1,rural,winter,18093,2,10,1
352,5,highway,winter,9440,19,11,0
256,2,highway,fall,17688,9,13,0
278,5,highway,summer,8825,28,18,1
627,2,highway,fall,11129,8,11,0
124,5,highway,spring,5641,19,16,0
484,3,highway,winter,4171,18,15,1
152,2,highway,spring,7792,13,11,0
471,5,highway,spring,15938,1,18,1
753,1,highway,winter,12731,4,15,1
787,3,rural,summer,18982,19,14,0
355,3,highway,fall,15011,28,17,0
147,1,rural,spring,11609,28,21,0
384,5,rural,winter,8944,7,16,1
484,4,rural,spring,16105,6,7,1
496,1,rural,fall,13526,5,20,0
357,5,highway,summer,9821,10,12,0
298,1,rural,summer,5935,11,10,0
215,1,rural,summer,8993,17,4,1
530,2,highway,winter,7191,18,10,0
384,5,highway,winter,3263,9,10,0
591,4,highway,summer,3741,24,10,1
155,2,rural,fall,3557,28,11,0
612,1,rural,fall,17434,24,19,1
130,1,highway,winter,6074,20,6,0
182,1,highway,summer,5911,13,16,0
187,5,highway,fall,2087,2,13,0
233,5,highway,fall,10514,17,21,1
450,2,rural,fall,6420,23,10,0
379,4,highway,winter,12188,14,8,0
557,2,highway,summer,4909,5,10,0
118,3,highway,spring,6283,9,20,0
595,1,rural,summer,1212,26,7,1
102,1,highway,summer,5906,11,19,0
499,1,rural,winter,12541,6,13,0
254,2,highway,fall,2933,16,6,0
175,2,highway,fall,3801,0,6,0
796,1,highway,winter,17154,25,20,1
92,2,highway,winter,12086,17,13,1
160,5,highway,winter,17963,25,20,0
712,5,rural,winter,5822,14,20,1
232,2,rural,winter,14432,18,7,1
144,1,rural,spring,5757,27,9,0
423,2,highway,summer,14233,0,15,0
569,2,rural,summer,13868,29,20,1
409,2,highway,summer,10277,4,20,0
745,3,highway,fall,11749,14,13,0
330,5,highway,spring,13381,2,10,0
244,4,highway,summer,10087,0,19,1
244,4,rural,fall,9291,7,16,0
716,3,highway,spring,9205,11,6,0
142,2,highway,spring,9758,26,5,0
721,3,rural,fall,8333,21,19,1
110,3,highway,spring,19770,24,9,0
683,1,highway,fall,14745,18,9,0
100,5,highway,summer,19537,24,16,1
452,4,rural,fall,16254,24,10,1
54,2,rural,spring,9780,11,8,0
515,4,highway,summer,13077,12,10,1
653,4,highway,summer,3014,27,5,1
731,5,highway,winter,4469,0,20,1
583,4,rural,winter,5066,18,16,0
454,4,highway,spring,2696,5,19,0
562,3,highway,fall,17673,7,5,1
694,5,highway,fall,11845,3,8,1
282,1,highway,spring,1809,4,21,0
573,2,highway,summer,1364,24,10,1
395,4,rural,spring,12555,21,14,0
95,2,highway,spring,5889,27,14,0
595,1,highway,summer,12216,6,20,0
127,2,rural,fall,12478,22,19,0
779,1,rural,spring,3503,3,16,1
122,3,highway,fall,14674,19,8,0
298,4,highway,spring,14272,3,19,1
96,1,highway,summer,18115,29,19,0
170,2,rural,summer,8459,14,19,0
263,4,highway,winter,12480,26,17,1
288,3,rural,summer,19595,20,9,0
105,4,rural,winter,7081,4,5,1
399,1,highway,spring,17305,23,17,0
156,3,highway,fall,10465,8,19,1
97,2,highway,summer,12260,1,16,0
622,3,highway,summer,15422,26,18,0
386,3,highway,summer,1446,6,15,0
75,5,rural,spring,18718,16,12,1
306,3,rural,winter,2064,15,21,0
57,3,highway,spring,7832,16,17,0
674,4,rural,fall,5444,19,7,1
302,2,highway,spring,16557,25,11,0
741,4,highway,fall,14377,22,11,0
768,4,highway,summer,10639,1,19,1
352,1,rural,fall,1808,10,13,1
688,4,rural,fall,19870,1,20,1
105,5,rural,winter,17270,0,4,1
775,5,highway,fall,3758,25,21,0
575,1,highway,fall,5311,1,13,0
523,2,highway,spring,7197,28,7,1
77,2,highway,summer,16275,22,4,0
127,4,rural,spring,11539,8,7,0
265,4,rural,spring,1939,21,7,0
435,4,rural,summer,12134,25,7,1
414,2,highway,summer,555,1,20,0
715,3,highway,fall,605,27,12,1
575,5,highway,fall,3701,14,16,0
748,3,highway,winter,15684,9,7,0
361,3,highway,spring,1169,14,8,0
56,2,rural,summer,13163,9,16,0
52,3,rural,fall,1466,28,19,1
672,1,highway,summer,17191,24,8,0
799,4,highway,fall,19022,22,11,1
412,1,highway,winter,12156,26,19,0
557,5,highway,winter,16393,16,4,0
323,4,rural,summer,13589,27,9,1
555,3,highway,winter,16993,8,14,0
788,5,highway,summer,4132,17,19,1
64,4,highway,fall,6184,3,8,1
241,3,rural,spring,13766,8,19,0
680,1,highway,winter,18799,15,10,0
534,4,highway,fall,17440,3,4,0
77,3,highway,spring,604,15,12,0
763,1,rural,spring,2547,18,21,0
88,5,rural,spring,17029,0,16,1
322,5,highway,fall,17757,22,18,0
280,5,rural,fall,17182,5,6,1
135,5,rural,summer,9337,9,13,1
523,2,rural,spring,15907,15,12,1
175,4,rural,spring,6882,3,16,0
586,4,rural,spring,19395,21,19,1
194,2,highway,summer,1283,21,6,0
574,3,rural,spring,870,12,18,1
261,3,highway,fall,16408,15,20,0
74,5,rural,spring,986,19,17,1
629,1,highway,winter,15000,29,10,0
443,3,rural,fall,3696,28,19,1
116,1,rural,summer,10052,5,11,1
282,4,highway,spring,2761,25,7,0
158,1,rural,winter,11313,10,18,0
195,4,highway,summer,9648,23,8,0
160,2,rural,summer,9072,28,16,1
277,2,highway,fall,15508,2,9,0
160,5,highway,summer,13585,19,8,1
519,3,rural,summer,17122,9,20,1
83,5,highway,summer,7343,28,10,0
672,4,rural,summer,1605,27,9,0
418,5,highway,spring,18270,29,5,1
797,1,highway,spring,10941,0,14,0
644,4,highway,spring,10219,19,10,1
603,2,highway,spring,18551,10,11,1
474,3,highway,winter,3191,25,8,0
662,4,highway,spring,12364,25,21,0
567,4,highway,summer,2496,11,19,1
741,1,highway,spring,1925,13,17,0
331,3,rural,spring,16878,24,15,1
369,2,rural,fall,7349,7,20,1
787,4,highway,summer,3747,10,8,1
492,4,rural,spring,19476,3,17,0
364,1,highway,spring,1990,27,9,0
790,5,rural,spring,18108,6,18,0
426,2,rural,winter,19471,9,10,1
338,3,rural,spring,19948,18,17,0
486,4,highway,fall,14810,24,21,0
711,4,rural,summer,17716,25,4,1
326,2,highway,summer,15901,3,9,0
759,5,rural,spring,13384,1,6,1
631,4,highway,spring,19324,25,8,1
552,2,rural,spring,5295,20,15,0
673,1,rural,summer,2146,17,14,0
565,5,rural,summer,16642,13,16,0
399,3,highway,winter,14806,25,19,0
495,4,rural,fall,17324,15,21,1
399,2,highway,winter,6456,21,20,0
656,1,rural,fall,14428,10,20,0
713,3,highway,winter,10221,9,14,0
186,2,highway,summer,11657,16,13,0
292,2,highway,winter,2867,13,19,1
592,3,highway,fall,7196,21,5,0
89,1,highway,spring,5690,3,20,0
278,1,highway,fall,5163,18,13,0
597,5,highway,spring,7562,1,16,0
272,4,rural,summer,4831,6,15,0
55,3,rural,fall,19918,8,18,0
371,3,highway,winter,12380,27,10,0
517,3,highway,fall,16746,18,16,1
781,1,highway,spring,3762,15,15,0
124,4,highway,summer,13820,21,15,0
53,5,rural,winter,18991,24,5,1
695,2,rural,fall,7536,15,8,0
167,2,highway,spring,19631,17,5,0
655,3,highway,winter,5177,22,16,1
553,4,highway,summer,8472,20,6,0
623,1,rural,winter,15829,20,14,1
490,4,rural,summer,4764,10,19,0
243,4,highway,winter,3633,6,4,0
764,1,highway,fall,12112,8,14,1
441,3,rural,spring,18349,3,12,0
75,4,rural,fall,19095,24,17,0
484,2,highway,fall,14658,29,12,0
222,1,highway,summer,10235,12,10,0
349,5,highway,summer,2189,26,19,1
694,3,highway,summer,10263,25,6,0
375,1,highway,fall,8227,24,7,0
459,5,highway,winter,8264,28,10,1
167,5,highway,winter,13503,3,15,0
773,4,highway,fall,1318,18,21,1
274,4,rural,fall,14939,1,8,1
581,4,highway,spring,15577,8,13,0
162,1,highway,summer,5021,11,15,0
189,1,highway,summer,1624,1,11,0
608,3,highway,fall,6160,5,18,0
50,4,rural,fall,6141,4,4,1
139,5,highway,winter,18013,29,6,0
703,2,highway,fall,2202,4,21,1
369,3,rural,winter,18885,19,21,0
599,1,highway,fall,11639,21,5,0
188,3,rural,spring,16202,4,8,0
560,3,highway,spring,7023,26,4,0
308,3,highway,winter,12897,3,13,0
722,3,highway,summer,8611,28,13,0
739,2,highway,spring,2901,8,8,1
59,4,rural,winter,9981,28,21,1
310,5,rural,fall,10567,21,18,1
699,3,highway,fall,13876,26,11,0
221,3,highway,winter,14324,9,20,0
62,3,rural,summer,13944,15,15,0
217,4,rural,winter,13379,9,15,0
691,1,highway,winter,16612,28,4,1
645,1,highway,spring,1039,9,7,0
370,2,highway,winter,11474,28,11,0
368,1,rural,winter,14346,18,4,0
662,3,highway,fall,6115,9,18,0
378,3,highway,spring,16516,5,21,0
599,3,rural,fall,3456,29,4,0
468,2,highway,fall,8577,16,14,0
655,3,highway,summer,4222,4,5,0
144,1,highway,summer,12559,25,4,0
630,4,highway,spring,5587,5,15,1
367,4,highway,spring,10838,26,19,0
285,5,highway,summer,2670,23,13,0
383,1,highway,summer,3891,26,21,0
425,3,highway,summer,7442,14,18,0
508,4,rural,summer,18500,24,20,1
186,1,rural,summer,14306,26,13,0
637,4,highway,fall,15292,18,6,1
596,3,highway,spring,13309,17,19,0
562,4,highway,fall,15355,28,9,0
345,5,highway,fall,9608,3,6,1
369,5,highway,winter,6958,7,12,0
621,4,rural,fall,3256,26,14,0
398,1,highway,summer,7353,15,16,0
278,1,highway,summer,8209,23,21,0
319,1,highway,winter,18820,18,7,1
340,4,rural,winter,19975,19,11,0
774,1,highway,winter,13347,2,16,0
214,3,rural,winter,17852,9,13,1
54,5,highway,winter,7797,1,5,1
428,3,rural,fall,16756,3,11,0
127,1,rural,winter,3703,5,9,0
459,3,highway,fall,6999,10,19,0
623,1,highway,spring,5673,13,21,1
181,4,highway,winter,17773,15,20,1
650,3,highway,winter,12150,26,9,1
798,4,rural,fall,9673,20,16,1
91,4,rural,spring,7882,18,17,0
138,2,rural,fall,1301,1,13,0
451,1,rural,fall,8734,24,14,0
345,5,highway,winter,14397,16,16,1
344,1,highway,summer,15697,8,15,0
665,5,rural,summer,10469,16,12,0
575,1,highway,fall,3701,14,7,0
740,4,rural,winter,17233,29,10,1
686,3,highway,spring,10472,6,5,0
471,3,highway,summer,1083,21,10,0
72,2,rural,spring,13219,22,12,1
624,5,highway,summer,3877,18,8,1
192,5,rural,winter,15355,29,18,0
714,5,rural,fall,3901,2,21,1
194,4,rural,spring,14136,28,7,1
274,5,rural,spring,16238,26,10,1
552,3,highway,fall,7272,0,11,0
665,4,rural,spring,10631,3,20,0
153,1,highway,summer,1288,27,16,0
88,5,highway,fall,16684,17,14,0
247,5,rural,summer,3389,25,4,0
695,1,highway,summer,10069,7,5,0
628,5,highway,winter,10641,18,20,1
440,1,highway,summer,12434,22,8,0
228,4,highway,winter,10269,22,9,0
603,3,rural,spring,8112,27,10,0
497,1,highway,spring,19376,24,18,0
549,2,rural,winter,16705,5,19,1
64,1,rural,summer,14434,0,16,0
672,5,rural,fall,10595,7,8,1
718,4,highway,fall,4740,0,6,1
338,4,rural,winter,19206,18,6,1
527,1,highway,spring,11248,10,17,0
280,3,rural,spring,5798,20,19,0
469,2,highway,fall,2361,23,20,0
206,4,rural,winter,14642,24,7,0
599,5,rural,fall,7820,14,16,1
490,5,highway,summer,11867,22,11,0
146,3,highway,summer,17982,24,8,0
460,4,rural,winter,5747,10,5,0
338,1,highway,winter,2234,18,18,0
303,5,rural,summer,5163,28,5,1
245,3,highway,spring,6409,20,14,0
647,4,highway,winter,13318,9,16,1
571,4,rural,summer,17564,23,13,1
566,4,rural,summer,8663,11,6,0
684,4,rural,spring,18954,0,8,1
167,4,highway,spring,13858,23,6,1
208,5,rural,spring,7168,6,9,1
277,3,highway,spring,13516,16,16,0
265,4,rural,fall,8501,28,13,1
745,2,rural,spring,10421,28,11,1
64,2,highway,fall,2691,25,21,0
206,3,highway,winter,9359,27,6,0
697,1,highway,summer,9372,9,20,0
310,1,rural,fall,19730,27,11,0
206,1,highway,winter,19347,5,13,0
96,2,rural,winter,5422,16,5,0
373,1,highway,fall,4892,17,15,0
734,5,rural,winter,14041,4,9,1
179,4,rural,winter,19881,17,5,1
460,2,highway,fall,15515,29,6,0
144,3,highway,winter,3727,25,20,0
676,3,highway,spring,2524,16,10,1
341,4,rural,spring,17213,21,8,1
332,2,rural,summer,2986,15,4,0
118,1,highway,winter,1655,7,11,0
709,1,rural,summer,10582,23,15,0
60,5,highway,spring,4977,12,17,0
303,5,highway,spring,19069,28,19,0
599,1,rural,spring,7586,23,13,0
183,3,highway,winter,2817,15,18,0
761,3,highway,winter,4121,10,18,1
72,5,highway,spring,4991,5,13,0
395,4,highway,summer,16416,26,10,0
351,1,highway,summer,15748,2,6,0
412,5,highway,fall,3011,0,5,1
445,5,rural,spring,10046,17,9,1
267,1,highway,summer,16112,4,12,0
190,1,highway,spring,8348,12,13,0
665,3,highway,summer,14774,9,7,1
259,4,highway,fall,18177,4,6,1
672,4,rural,fall,2965,25,12,1
665,1,rural,spring,16804,13,20,0
732,2,highway,summer,16169,16,17,1
509,5,rural,winter,11794,0,13,1
405,5,highway,fall,3675,24,16,0
373,1,highway,spring,8349,1,15,0
182,2,highway,spring,12973,6,4,0
176,3,highway,summer,9925,9,9,0
155,1,highway,spring,12722,19,16,0
653,1,rural,fall,8944,6,16,0
427,5,highway,spring,8710,23,7,1
100,1,rural,spring,3259,15,5,0
78,1,highway,winter,16591,4,18,0
511,1,highway,winter,502,28,15,1
345,5,rural,fall,18143,27,10,1
346,3,highway,summer,8690,11,21,0
775,3,highway,winter,15748,16,16,1
456,1,rural,summer,6273,15,20,0
662,5,rural,fall,13286,19,7,0
454,3,rural,winter,19452,25,17,0
395,3,rural,summer,15537,15,16,1
671,3,rural,winter,2385,18,6,1
469,5,rural,fall,7560,25,21,0
231,5,highway,fall,16831,14,17,0
50,1,highway,winter,8344,11,18,0
616,4,highway,summer,13950,20,6,0
420,3,highway,spring,9991,9,4,0
710,4,rural,spring,19222,28,20,1
480,5,rural,winter,9768,25,6,0
358,5,highway,summer,9639,28,17,0
186,5,highway,spring,7291,21,6,1
251,4,rural,fall,7671,1,16,1
485,5,highway,summer,19615,6,18,0
362,1,rural,spring,17753,12,21,1
166,5,highway,summer,593,2,17,0
715,2,highway,winter,3487,14,6,1
624,4,highway,summer,13347,0,11,1
293,2,highway,spring,10467,25,7,0
586,5,rural,winter,16718,2,7,1
651,1,rural,summer,10952,24,14,0
124,3,rural,fall,9127,9,4,0
435,5,highway,spring,5447,26,11,0
259,1,highway,winter,7151,26,18,1
524,4,rural,summer,3644,14,4,1
467,2,rural,fall,16960,21,10,0
396,2,highway,spring,9459,26,14,0
578,2,highway,fall,8797,5,17,0
689,4,rural,summer,7194,19,19,0
228,1,highway,summer,16335,14,17,0
231,4,highway,winter,19757,23,15,1
713,2,highway,fall,3846,20,20,0
74,5,highway,winter,11840,6,17,1
229,3,rural,spring,744,24,13,0
759,4,rural,winter,3125,28,17,1
550,4,highway,spring,4349,28,21,1
210,1,highway,summer,10097,29,12,0
226,1,highway,summer,8237,20,20,1
334,4,highway,fall,14524,26,9,0
112,2,highway,spring,12500,29,11,0
711,3,rural,summer,8833,4,16,0
715,1,highway,fall,17776,29,21,0
205,2,highway,fall,7810,3,8,0
518,5,highway,winter,2899,21,9,1
98,1,highway,fall,5140,17,7,0
133,2,highway,summer,19844,2,10,0
410,2,highway,winter,10891,16,7,0
738,3,rural,spring,18353,17,14,1
197,3,highway,spring,11392,17,15,0
679,5,highway,summer,11697,23,17,0
391,2,rural,summer,13550,23,16,1
525,2,rural,winter,3874,1,13,0
112,3,highway,winter,13411,12,21,0
750,1,rural,summer,9347,29,19,0
409,1,highway,summer,15285,21,8,0
610,4,highway,spring,11460,14,11,1
376,3,highway,spring,14035,4,17,0
785,4,rural,spring,8734,2,8,1
190,3,rural,summer,11003,4,11,0
264,5,highway,fall,5622,4,9,0
484,2,highway,summer,10352,4,19,1
772,5,rural,summer,5887,2,7,1
367,3,highway,spring,8131,2,15,0
81,2,highway,summer,7726,19,14,0
719,1,rural,winter,5608,22,6,1
334,1,rural,summer,19108,27,15,1
354,4,rural,summer,2610,27,8,1
478,3,rural,summer,1457,27,9,0
526,3,highway,summer,7646,29,21,0
335,1,rural,fall,1060,17,19,0
193,5,rural,summer,1812,25,14,1
473,2,highway,winter,18705,19,8,1
68,5,highway,winter,12095,3,12,1
67,5,highway,summer,5874,0,6,0
639,1,highway,spring,3151,25,11,0
420,1,rural,fall,10506,15,9,0
224,1,rural,summer,10433,7,7,0
243,4,highway,summer,16672,16,15,0
551,5,highway,summer,3377,7,15,0
162,3,rural,spring,4583,6,19,1
163,2,highway,spring,1245,24,13,0
271,4,highway,spring,9249,7,17,0
727,3,highway,fall,17825,20,16,0
693,5,highway,winter,19180,23,12,0
313,1,highway,fall,17823,29,10,1
104,5,highway,spring,18494,26,15,1
692,2,highway,winter,2225,25,8,0
507,4,highway,winter,12713,11,21,0
211,4,highway,spring,10028,15,7,0
429,2,highway,spring,14662,11,5,0
136,3,rural,fall,9353,18,6,0
104,3,rural,spring,7687,9,15,1
525,4,highway,winter,532,6,6,1
227,4,highway,summer,15393,11,7,0
440,1,rural,spring,14908,19,9,0
398,3,highway,spring,15660,4,15,1
57,2,highway,fall,3914,15,13,0
362,3,rural,fall,18040,8,4,1
492,1,rural,spring,12620,6,20,0
377,4,rural,winter,2043,19,19,1
103,4,highway,winter,771,21,12,0
288,1,rural,summer,5795,25,12,1
278,2,highway,spring,15463,13,12,0
628,4,rural,fall,12080,10,15,1
100,5,highway,winter,19593,6,12,1
658,4,highway,summer,13097,28,18,0
653,5,rural,spring,12545,9,5,1
313,1,highway,winter,14103,28,14,0
467,1,highway,spring,10437,8,14,0
145,4,rural,spring,15330,3,11,0
137,3,highway,winter,7222,15,9,1
127,5,highway,winter,8701,9,10,1
337,2,highway,winter,4644,18,6,1
169,4,rural,spring,6106,23,11,1
540,2,rural,spring,7266,16,21,0
501,4,highway,summer,17614,8,20,1
549,3,rural,fall,16428,12,14,0
214,3,highway,spring,2148,0,5,0
231,3,rural,fall,2630,1,10,0
518,3,highway,winter,14892,12,21,0
784,1,highway,spring,11088,23,11,0
56,1,rural,summer,4866,8,17,0
379,5,highway,summer,2006,6,10,0
722,2,highway,fall,19042,15,7,1
200,4,highway,winter,19800,18,20,1
134,4,rural,fall,15722,6,8,1
196,1,highway,winter,12863,5,15,1
673,4,highway,summer,12295,17,12,0
430,1,highway,fall,10358,18,16,0
597,5,highway,summer,13116,10,21,1
334,2,highway,summer,4636,28,12,0
749,5,rural,winter,13978,11,7,1
131,3,rural,fall,11661,28,11,1
563,3,highway,fall,3189,25,4,0
758,3,highway,summer,3310,9,20,0
572,5,highway,summer,12163,12,12,1
795,4,highway,winter,6652,11,16,0
435,2,rural,spring,512,20,5,0
756,3,highway,spring,11662,9,16,1
520,3,highway,summer,8499,19,12,1
168,3,rural,spring,7719,17,9,0
445,2,highway,spring,5828,3,4,0
581,3,rural,spring,4121,27,8,0
310,2,highway,spring,12165,23,6,0
305,3,rural,summer,11814,4,7,0
783,5,rural,spring,1152,4,4,1
275,5,rural,spring,16682,28,17,1
102,2,rural,winter,9312,27,12,0
549,5,highway,summer,4290,11,7,0
555,2,highway,fall,16159,25,21,0
413,5,rural,fall,2145,2,17,0
329,5,highway,winter,10935,28,7,1
642,2,highway,winter,4188,7,13,0
763,4,highway,summer,8189,21,6,0
207,5,highway,fall,1879,1,10,0
681,3,highway,spring,4743,17,13,0
108,4,highway,winter,10737,8,16,0
776,2,rural,fall,16830,12,7,0
177,4,highway,summer,19537,6,21,1
785,1,highway,spring,6111,9,14,0
770,1,highway,summer,13016,8,7,1
164,5,highway,winter,14386,29,17,1
258,5,rural,fall,14216,21,21,0
575,3,highway,fall,6412,14,11,1
570,4,highway,fall,6949,4,13,0
601,1,rural,fall,2225,11,8,0
286,5,highway,spring,16370,0,10,1
330,4,highway,spring,9804,11,15,0
408,5,highway,summer,8022,21,6,0
250,5,rural,spring,14163,5,7,0
327,1,highway,winter,5284,18,13,0
284,1,highway,winter,9972,18,7,0
543,5,highway,fall,18116,15,18,1
53,2,highway,winter,10555,18,13,1
715,5,highway,summer,13176,2,19,0
491,5,highway,spring,7946,22,18,0
78,3,highway,spring,5225,9,21,1
158,3,rural,spring,15269,26,15,0
659,3,rural,winter,1909,17,19,0
776,2,highway,spring,8705,25,4,0
124,2,rural,fall,16865,12,19,0
195,5,highway,fall,756,25,5,0
177,3,highway,fall,18605,17,18,0
91,2,rural,winter,16204,2,10,0
405,1,rural,spring,18307,25,4,0
90,5,rural,winter,3490,27,8,1
83,4,highway,spring,1695,22,13,0
66,5,rural,summer,1744,2,7,0
726,4,highway,summer,11915,22,17,1
202,3,rural,winter,7266,24,16,1
427,4,rural,fall,12162,26,4,0
637,3,highway,winter,16710,25,19,1
648,1,rural,fall,18190,11,12,1
678,4,highway,spring,10813,26,19,1
391,5,highway,fall,2902,19,18,0
76,3,highway,fall,17380,6,17,0
336,5,highway,spring,13775,24,13,0
695,2,rural,summer,15415,29,15,0
780,3,rural,spring,1409,23,4,0
217,4,highway,winter,16306,7,20,0
659,3,rural,winter,872,8,12,1
317,5,rural,winter,1844,13,21,0
798,1,highway,winter,9015,4,10,0
504,3,rural,winter,2931,29,12,0
734,4,highway,summer,19668,20,15,1
450,2,rural,summer,11085,18,10,0
525,1,highway,fall,15962,20,17,0
751,2,highway,winter,2195,15,18,0
683,3,highway,spring,2407,23,18,0
607,5,rural,winter,17664,11,9,1
625,5,highway,summer,1519,20,17,1
179,4,highway,winter,11957,3,5,0
412,5,highway,summer,1903,7,11,1
754,1,rural,fall,18310,6,16,0
742,5,highway,fall,9355,14,9,0
341,4,highway,fall,6368,29,8,0
420,3,highway,summer,11339,29,8,0
78,3,highway,winter,510,5,4,0
198,5,rural,winter,6830,4,12,0
345,2,rural,spring,15561,13,9,0
60,3,highway,summer,9730,20,10,0
561,5,highway,spring,19709,12,12,1
725,4,rural,fall,7964,9,8,1
162,5,highway,winter,15246,17,17,0
236,3,rural,summer,3503,28,8,0
793,4,rural,spring,7695,3,11,0
276,5,rural,spring,19972,7,10,1
359,1,highway,spring,14162,23,16,0
147,4,highway,winter,14239,10,16,1
104,1,rural,winter,16088,16,11,0
672,2,highway,winter,2289,17,14,0
713,4,rural,summer,19920,20,21,1
455,1,highway,winter,8098,24,9,0
118,3,rural,summer,5338,25,5,0
361,3,highway,spring,6372,10,16,0
338,2,highway,spring,11867,15,14,0
597,4,highway,fall,4799,11,4,1
197,4,rural,winter,17857,12,5,1
516,4,rural,spring,7583,26,20,0
788,2,highway,winter,5994,15,11,1
293,4,highway,summer,11817,22,5,0
540,3,rural,spring,3629,25,9,1
556,1,highway,winter,604,20,8,1
414,3,highway,spring,7933,0,19,1
531,3,highway,spring,8189,15,11,0
250,1,highway,winter,4067,14,19,1
203,3,highway,spring,18065,5,16,0
499,2,highway,spring,5144,11,10,0
550,1,highway,spring,15466,7,19,0
122,3,highway,spring,11830,6,19,0
762,5,highway,summer,4894,1,15,0
345,3,highway,spring,4034,11,17,0
66,2,highway,fall,12888,20,21,0
690,4,rural,spring,11819,13,21,0
266,3,highway,winter,6975,15,19,1
110,4,highway,fall,18658,10,19,1
665,5,highway,summer,15228,19,16,0
91,3,highway,fall,12506,8,12,0
74,1,highway,fall,16650,9,12,0
88,4,highway,fall,946,16,16,0
180,5,rural,winter,608,11,7,1
547,1,highway,winter,3739,5,12,0
278,1,rural,winter,6431,18,18,1
157,1,highway,summer,4553,10,17,0
221,1,highway,winter,14246,8,15,0
484,3,highway,winter,1745,20,9,0
527,3,highway,fall,19604,28,6,0
151,3,highway,winter,14339,5,19,0
573,5,rural,spring,13356,26,20,0
324,5,highway,winter,5605,24,19,0
662,5,rural,summer,3422,24,9,0
93,2,rural,summer,3013,23,11,0
66,5,highway,spring,3301,24,5,0
379,3,highway,summer,14395,15,17,0
618,3,highway,summer,7481,19,15,0
546,2,highway,fall,8721,15,20,0
61,2,highway,spring,6538,5,18,0
367,5,highway,fall,15582,4,21,0
641,4,highway,fall,15148,20,19,1
265,2,highway,winter,864,3,16,0
388,1,rural,spring,2300,1,20,0
710,3,rural,winter,14610,27,11,0
130,1,rural,winter,6458,5,4,0
776,3,highway,fall,9596,8,6,0
534,3,highway,summer,7936,27,19,0
423,2,highway,spring,13138,16,5,0
759,2,highway,summer,679,13,18,0
249,1,highway,fall,4373,6,4,0
586,3,rural,fall,18070,21,12,0
515,1,rural,fall,15955,18,19,1
138,4,highway,fall,17657,0,7,1
317,1,highway,fall,13297,28,15,0
704,5,highway,fall,4960,19,4,0
620,1,highway,summer,15816,29,4,0
538,5,highway,winter,852,24,10,1
587,5,highway,summer,5844,14,21,1
96,5,highway,spring,5007,17,18,0
337,4,rural,summer,5330,2,16,1
65,1,highway,fall,11720,17,19,0
760,1,rural,summer,617,29,10,1
450,4,highway,winter,17365,1,19,0
135,3,highway,spring,4787,9,16,0
299,2,highway,summer,4977,10,17,0
